Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds,Rounds Played,Agents Lied
1,2,49,9,0.12622690435686112,10,10,false
2,2,49,8,0.9892094771475555,46,22,true
2,2,25,0,0.3545291031090183,17,8,false
6,2,160,66,0.37923266401786804,34,25,true
2,2,25,0,0.9720849096509728,21,9,true
2,2,25,0,0.43558823135196423,33,15,false
1,1,49,0,0.18758539353219095,47,21,false
4,2,160,79,0.11250182723757551,11,10,false
1,2,49,9,0.8468755301084762,12,12,true
4,2,160,79,0.3206297386267194,10,5,false
2,2,25,0,0.6860698258348408,12,7,false
1,2,49,9,0.21434039335304833,36,36,false
4,2,160,79,0.5786418015765405,31,29,false
2,2,25,0,0.3670122329109913,50,22,false
1,1,49,0,0.8841951535936221,35,16,false
2,2,49,8,0.07224325881658122,27,16,false
2,2,49,8,0.04255298678786712,38,17,false
2,2,25,0,0.09118048219750374,13,10,false
1,2,49,9,0.42390850243809775,28,28,false
6,2,160,66,0.021710503410987014,36,27,false
2,2,25,0,0.08947805822193555,12,5,false
4,2,160,79,0.5040076303229872,12,5,false
6,2,160,66,0.6632404463687602,19,13,false
6,2,160,66,0.6144154402704909,19,13,true
4,2,160,79,0.2693714519670365,30,26,true
1,1,49,0,0.2624643116192674,18,18,false
1,1,49,0,0.025048551926535545,28,13,false
6,2,160,66,0.5739283206770487,40,22,true
4,2,160,79,0.9086461271771571,41,37,true
2,2,49,8,0.41117452223170414,41,21,false
1,2,49,9,0.8749290623698772,20,20,true
2,2,49,8,0.0902745761151299,13,9,false
6,2,160,66,0.8398883898726187,42,26,false
4,2,160,79,0.9025831856708296,17,17,true
1,1,49,0,0.7321976626509376,12,10,false
6,2,160,66,0.30775348139788716,35,35,false
4,2,160,79,0.765068111694691,30,25,true
1,2,49,9,0.5120792909716794,47,47,false
6,2,160,66,0.4852017493560963,25,17,false
4,2,160,79,0.7615211371048564,16,14,false
4,2,160,79,0.2848139691737759,19,19,false
1,1,49,0,0.6554342708917593,49,23,false
2,2,49,8,0.8325183493572452,39,20,false
1,2,49,9,0.0028203664888619695,41,41,false
2,2,49,8,0.9364457899975112,11,7,false
6,2,160,66,0.5627017176730008,12,10,false
4,2,160,79,0.3868473916506796,20,18,false
6,2,160,66,0.08709046094974127,40,31,false
